primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,geo_data
eurcoo,[],[''],54.1313,-0.1793,Fulica atra,Eurasian Coot,Will Scott,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/781812,eurcoo/XC781812.ogg,54.1313 -0.1793 Will Scott
eurcoo,[],[''],52.5596,-1.2453,Fulica atra,Eurasian Coot,Dale Green,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/783376,eurcoo/XC783376.ogg,52.5596 -1.2453 Dale Green
grtdro1,[],['song'],12.4197,99.9799,Dicrurus paradiseus,Greater Racket-tailed Drongo,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/362690,grtdro1/XC362690.ogg,12.4197 99.9799 Albert Lastukhin
bcnher,[],"['flight call', 'nocturnal flight call']",47.7907,-0.6461,Nycticorax nycticorax,Black-crowned Night-Heron,Manceau Lionel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/665440,bcnher/XC665440.ogg,47.7907 -0.6461 Manceau Lionel
grewar3,[],"['call', 'song']",57.3644,23.125,Phylloscopus trochiloides,Greenish Warbler,Benjamin Drillat,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/573225,grewar3/XC573225.ogg,57.3644 23.125 Benjamin Drillat
grewar3,[],"['call', 'song']",63.1694,75.3864,Phylloscopus trochiloides,Greenish Warbler,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/431703,grewar3/XC431703.ogg,63.1694 75.3864 Albert Lastukhin
grtdro1,[],['call'],10.1577,76.6038,Dicrurus paradiseus,Greater Racket-tailed Drongo,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/397773,grtdro1/XC397773.ogg,10.1577 76.6038 Dilip KG
bcnher,[],"['flight call', 'nocturnal flight call']",43.0354,-1.0229,Nycticorax nycticorax,Black-crowned Night-Heron,Raphaël Nussbaumer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/601829,bcnher/XC601829.ogg,43.0354 -1.0229 Raphaël Nussbaumer
rorpar,[],[''],53.3548,-2.1179,Psittacula krameri,Rose-ringed Parakeet,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/856690,rorpar/XC856690.ogg,53.3548 -2.1179 Andrew Harrop
grtdro1,[],['Call'],1.342171,103.82543,Dicrurus paradiseus,Greater Racket-tailed Drongo,Okamoto Keita Sin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/576680,grtdro1/XC576680.ogg,1.342171 103.82543 Okamoto Keita Sin
rorpar,[],"['call', 'song']",12.6304,-16.5566,Psittacula krameri,Rose-ringed Parakeet,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/338695,rorpar/XC338695.ogg,12.6304 -16.5566 Bram Piot
grewar3,[],['song'],60.1339,24.678,Phylloscopus trochiloides,Greenish Warbler,Jimmy Träskelin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/180135,grewar3/XC180135.ogg,60.1339 24.678 Jimmy Träskelin
blrwar1,[],[''],58.6422,25.0321,Acrocephalus dumetorum,Blyth's Reed Warbler,FlackoWeasel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/826060,blrwar1/XC826060.ogg,58.6422 25.0321 FlackoWeasel
rorpar,[],['call'],26.871,78.5647,Psittacula krameri,Rose-ringed Parakeet,Ramit Singal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/294389,rorpar/XC294389.ogg,26.871 78.5647 Ramit Singal
grewar3,[],"['adult', 'call', 'male']",54.7032,18.6657,Phylloscopus trochiloides,Greenish Warbler,Jarek Matusiak,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/568880,grewar3/XC568880.ogg,54.7032 18.6657 Jarek Matusiak
rewbul,['revbul'],['song'],24.7664,97.5742,Pycnonotus jocosus,Red-whiskered Bulbul,Scott Olmstead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/321616,rewbul/XC321616.ogg,24.7664 97.5742 Scott Olmstead
grewar3,[],['song'],54.6157,18.7882,Phylloscopus trochiloides,Greenish Warbler,Marcin Sołowiej,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/570252,grewar3/XC570252.ogg,54.6157 18.7882 Marcin Sołowiej
grewar3,[],['song'],63.8308,20.1645,Phylloscopus trochiloides,Greenish Warbler,Dag Österlund,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/656645,grewar3/XC656645.ogg,63.8308 20.1645 Dag Österlund
blrwar1,[],['song'],59.7237,10.311,Acrocephalus dumetorum,Blyth's Reed Warbler,Hallvard Holtung,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/375553,blrwar1/XC375553.ogg,59.7237 10.311 Hallvard Holtung
rorpar,[],[''],50.1764,8.6559,Psittacula krameri,Rose-ringed Parakeet,W. Agster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/757943,rorpar/XC757943.ogg,50.1764 8.6559 W. Agster
gyhcaf1,[],['song'],18.2132,104.52,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/606942,gyhcaf1/XC606942.ogg,18.2132 104.52 Bram Piot
rewbul,[],"['adult', 'sex uncertain', 'song']",39.6154,-0.5208,Pycnonotus jocosus,Red-whiskered Bulbul,Ana M Garcia,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/608372,rewbul/XC608372.ogg,39.6154 -0.5208 Ana M Garcia
rorpar,[],"['call', 'flight call']",37.3576,-5.9336,Psittacula krameri,Rose-ringed Parakeet,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/294456,rorpar/XC294456.ogg,37.3576 -5.9336 José Carlos Sires
grewar3,[],['song'],53.0554,4.7509,Phylloscopus trochiloides,Greenish Warbler,Arend Wassink,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/476638,grewar3/XC476638.ogg,53.0554 4.7509 Arend Wassink
blrwar1,[],[''],53.9025,20.1735,Acrocephalus dumetorum,Blyth's Reed Warbler,Krzysztof Jankowski,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/808109,blrwar1/XC808109.ogg,53.9025 20.1735 Krzysztof Jankowski
graher1,[],['flight call'],39.6216,-0.2614,Ardea cinerea,Gray Heron,jesus carrion,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/571480,graher1/XC571480.ogg,39.6216 -0.2614 jesus carrion
eurcoo,[],['nocturnal flight call'],54.1951,-3.0927,Fulica atra,Eurasian Coot,Mike Douglas,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/547396,eurcoo/XC547396.ogg,54.1951 -3.0927 Mike Douglas
litegr,[],['nocturnal flight call'],54.2386,-0.4196,Egretta garzetta,Little Egret,Dan Lombard,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/636767,litegr/XC636767.ogg,54.2386 -0.4196 Dan Lombard
graher1,[],['flight call'],56.1056,47.5392,Ardea cinerea,Gray Heron,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/187169,graher1/XC187169.ogg,56.1056 47.5392 Albert Lastukhin
graher1,[],"['call', 'song']",45.7735,4.8551,Ardea cinerea,Gray Heron,Vincent Pourchaire,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/418735,graher1/XC418735.ogg,45.7735 4.8551 Vincent Pourchaire
whbwat1,[],['song'],1.5252,110.3126,Amaurornis phoenicurus,White-breasted Waterhen,Hobart WQH,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/435909,whbwat1/XC435909.ogg,1.5252 110.3126 Hobart WQH
gyhcaf1,[],[''],14.4391,98.85,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Romtum_P,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/701624,gyhcaf1/XC701624.ogg,14.4391 98.85 Romtum_P
bcnher,[],['flight call'],28.5785,-80.9961,Nycticorax nycticorax,Black-crowned Night-Heron,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/172927,bcnher/XC172927.ogg,28.5785 -80.9961 Paul Marvin
eurcoo,[],['nocturnal flight call'],60.134,25.0301,Fulica atra,Eurasian Coot,Juha Saari,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/645579,eurcoo/XC645579.ogg,60.134 25.0301 Juha Saari
blrwar1,[],[''],58.7323,16.8408,Acrocephalus dumetorum,Blyth's Reed Warbler,Peter Lantz,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/734815,blrwar1/XC734815.ogg,58.7323 16.8408 Peter Lantz
graher1,[],['call'],45.9538,5.0399,Ardea cinerea,Gray Heron,Vincent Pourchaire,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/436470,graher1/XC436470.ogg,45.9538 5.0399 Vincent Pourchaire
litegr,[],[''],37.4918,27.5381,Egretta garzetta,Little Egret,Mehmet Ali Demiral,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/756201,litegr/XC756201.ogg,37.4918 27.5381 Mehmet Ali Demiral
grewar3,[],"['adult', 'call', 'sex uncertain']",22.4806,88.366,Phylloscopus trochiloides,Greenish Warbler,Romit Singha Roy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/611643,grewar3/XC611643.ogg,22.4806 88.366 Romit Singha Roy
grtdro1,[],[''],11.8015,92.7147,Dicrurus paradiseus,Greater Racket-tailed Drongo,Sandeep Chakraborty,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/818545,grtdro1/XC818545.ogg,11.8015 92.7147 Sandeep Chakraborty
blrwar1,[],['song'],58.3694,15.5889,Acrocephalus dumetorum,Blyth's Reed Warbler,Magnus Wadstein,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/568624,blrwar1/XC568624.ogg,58.3694 15.5889 Magnus Wadstein
graher1,[],[''],47.5124,4.1516,Ardea cinerea,Gray Heron,Dominique Guillerme,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/789438,graher1/XC789438.ogg,47.5124 4.1516 Dominique Guillerme
blrwar1,[],['song'],50.5756,-1.2956,Acrocephalus dumetorum,Blyth's Reed Warbler,jonathan sparshott,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/453300,blrwar1/XC453300.ogg,50.5756 -1.2956 jonathan sparshott
rorpar,[],"['adult', 'flight call', 'sex uncertain']",23.8152,90.3495,Psittacula krameri,Rose-ringed Parakeet,Samiul Mohsanin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/612032,rorpar/XC612032.ogg,23.8152 90.3495 Samiul Mohsanin
grewar3,[],"['male', 'song']",52.4214,16.9286,Phylloscopus trochiloides,Greenish Warbler,Paweł Szymański,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/374674,grewar3/XC374674.ogg,52.4214 16.9286 Paweł Szymański
grtdro1,[],['call'],11.4377,107.4193,Dicrurus paradiseus,Greater Racket-tailed Drongo,Klemens Steiof,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/161729,grtdro1/XC161729.ogg,11.4377 107.4193 Klemens Steiof
graher1,[],['nocturnal flight call'],58.3749,26.6876,Ardea cinerea,Gray Heron,Uku Paal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/586707,graher1/XC586707.ogg,58.3749 26.6876 Uku Paal
litegr,[],[''],37.1178,-8.6828,Egretta garzetta,Little Egret,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/748621,litegr/XC748621.ogg,37.1178 -8.6828 Jorge Leitão
whbwat1,[],"['call', 'song']",22.6375,88.375,Amaurornis phoenicurus,White-breasted Waterhen,Dibyendu Ash,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/549717,whbwat1/XC549717.ogg,22.6375 88.375 Dibyendu Ash
blrwar1,[],"['male', 'song']",51.2625,22.5374,Acrocephalus dumetorum,Blyth's Reed Warbler,Dawid Jablonski,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/477185,blrwar1/XC477185.ogg,51.2625 22.5374 Dawid Jablonski
blrwar1,[],['song'],56.092,47.2613,Acrocephalus dumetorum,Blyth's Reed Warbler,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/342332,blrwar1/XC342332.ogg,56.092 47.2613 Albert Lastukhin
eurcoo,[],[''],50.8445,5.6946,Fulica atra,Eurasian Coot,Michael Hurben,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/854728,eurcoo/XC854728.ogg,50.8445 5.6946 Michael Hurben
litegr,[],['call'],37.133,-7.6147,Egretta garzetta,Little Egret,Nelson Conceição,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/510565,litegr/XC510565.ogg,37.133 -7.6147 Nelson Conceição
graher1,[],[''],51.71,-0.011,Ardea cinerea,Gray Heron,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/778288,graher1/XC778288.ogg,51.71 -0.011 Paul Driver
gyhcaf1,[],['song'],19.1282,103.8574,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/617625,gyhcaf1/XC617625.ogg,19.1282 103.8574 Bram Piot
grewar3,[],['call'],18.9833,73.2667,Phylloscopus trochiloides,Greenish Warbler,pradnyavant mane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/122407,grewar3/XC122407.ogg,18.9833 73.2667 pradnyavant mane
bcnher,[],[''],48.9525,4.3751,Nycticorax nycticorax,Black-crowned Night-Heron,Antoine Salmon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/826612,bcnher/XC826612.ogg,48.9525 4.3751 Antoine Salmon
eurcoo,[],[''],52.3559,4.9373,Fulica atra,Eurasian Coot,guus van duin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/730134,eurcoo/XC730134.ogg,52.3559 4.9373 guus van duin
gyhcaf1,[],['song'],10.2294,77.4892,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,SUYASH SAWANT,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/548367,gyhcaf1/XC548367.ogg,10.2294 77.4892 SUYASH SAWANT
grewar3,[],[''],57.7372,10.6016,Phylloscopus trochiloides,Greenish Warbler,Jens Kirkeby,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/802971,grewar3/XC802971.ogg,57.7372 10.6016 Jens Kirkeby
bcnher,[],['nocturnal flight call'],42.5034,9.4659,Nycticorax nycticorax,Black-crowned Night-Heron,Thomas ARMAND,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/549164,bcnher/XC549164.ogg,42.5034 9.4659 Thomas ARMAND
grewar3,[],['song'],30.9842,102.8496,Phylloscopus trochiloides,Greenish Warbler,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/266870,grewar3/XC266870.ogg,30.9842 102.8496 Mike Nelson
blrwar1,[],['song'],57.8715,14.3451,Acrocephalus dumetorum,Blyth's Reed Warbler,PE Svahn,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/568877,blrwar1/XC568877.ogg,57.8715 14.3451 PE Svahn
grewar3,[],"['adult', 'male', 'song']",53.5726,0.1075,Phylloscopus trochiloides,Greenish Warbler,Jacob Spinks,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/569817,grewar3/XC569817.ogg,53.5726 0.1075 Jacob Spinks
eurcoo,[],[''],52.1624,5.3039,Fulica atra,Eurasian Coot,Fred Prak,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/709292,eurcoo/XC709292.ogg,52.1624 5.3039 Fred Prak
blrwar1,[],['call'],62.1965,30.6269,Acrocephalus dumetorum,Blyth's Reed Warbler,Hannu Kivivuori,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/148506,blrwar1/XC148506.ogg,62.1965 30.6269 Hannu Kivivuori
graher1,[],[''],51.8869,16.8341,Ardea cinerea,Gray Heron,Ireneusz Oleksik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/826762,graher1/XC826762.ogg,51.8869 16.8341 Ireneusz Oleksik
rorpar,[],['call'],48.4735,-4.3281,Psittacula krameri,Rose-ringed Parakeet,Louise M,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/340402,rorpar/XC340402.ogg,48.4735 -4.3281 Louise M
blrwar1,[],"['adult', 'male', 'mimicry/imitation', 'song']",52.4775,9.7661,Acrocephalus dumetorum,Blyth's Reed Warbler,Sven Kransel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/659075,blrwar1/XC659075.ogg,52.4775 9.7661 Sven Kransel
eurcoo,['houspa'],"['call', 'female', 'male']",47.8726,12.4235,Fulica atra,Eurasian Coot,Beatrix Saadi-Varchmin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/428624,eurcoo/XC428624.ogg,47.8726 12.4235 Beatrix Saadi-Varchmin
rorpar,[],['call'],-25.8401,28.2612,Psittacula krameri,Rose-ringed Parakeet,Faansie Peacock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/364537,rorpar/XC364537.ogg,-25.8401 28.2612 Faansie Peacock
greegr,[],['flight call'],25.382,-80.6163,Ardea alba,Great Egret,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/167213,greegr/XC167213.ogg,25.382 -80.6163 Paul Marvin
grtdro1,[],"['adult', 'call', 'sex uncertain']",4.6615,101.0606,Dicrurus paradiseus,Greater Racket-tailed Drongo,Amar-Singh HSS,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/514748,grtdro1/XC514748.ogg,4.6615 101.0606 Amar-Singh HSS
blrwar1,[],"['adult', 'male', 'mimicry/imitation', 'song']",58.646,25.0215,Acrocephalus dumetorum,Blyth's Reed Warbler,FlackoWeasel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/660156,blrwar1/XC660156.ogg,58.646 25.0215 FlackoWeasel
rorpar,[],['call'],25.3238,55.3536,Psittacula krameri,Rose-ringed Parakeet,Aladdin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/445741,rorpar/XC445741.ogg,25.3238 55.3536 Aladdin
grewar3,[],['song'],59.2162,37.3236,Phylloscopus trochiloides,Greenish Warbler,Dmitry Kulakov,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/377338,grewar3/XC377338.ogg,59.2162 37.3236 Dmitry Kulakov
rorpar,[],['call'],25.319,55.3457,Psittacula krameri,Rose-ringed Parakeet,Aladdin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/445740,rorpar/XC445740.ogg,25.319 55.3457 Aladdin
grtdro1,[],['song'],-8.2785,115.1534,Dicrurus paradiseus,Greater Racket-tailed Drongo,Bruno Durand,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/283303,grtdro1/XC283303.ogg,-8.2785 115.1534 Bruno Durand
whbwat1,[],"['call', 'hatchling or nestling', 'sex uncertain']",1.4281,103.715,Amaurornis phoenicurus,White-breasted Waterhen,Kim Chuah Lim,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/625039,whbwat1/XC625039.ogg,1.4281 103.715 Kim Chuah Lim
bcnher,[],['call'],10.1369,76.4567,Nycticorax nycticorax,Black-crowned Night-Heron,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/282624,bcnher/XC282624.ogg,10.1369 76.4567 Dilip KG
blrwar1,[],[''],53.6157,0.1401,Acrocephalus dumetorum,Blyth's Reed Warbler,Frank X. Moffatt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/732151,blrwar1/XC732151.ogg,53.6157 0.1401 Frank X. Moffatt
gyhcaf1,[],"['adult', 'call', 'sex uncertain']",21.7262,93.4195,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Thet Zaw Naing,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/684589,gyhcaf1/XC684589.ogg,21.7262 93.4195 Thet Zaw Naing
graher1,[],['flight call'],50.1025,18.9363,Ardea cinerea,Gray Heron,Ireneusz Oleksik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/555823,graher1/XC555823.ogg,50.1025 18.9363 Ireneusz Oleksik
blrwar1,[],"['adult', 'male', 'song']",60.4098,15.6143,Acrocephalus dumetorum,Blyth's Reed Warbler,Björn Söderlund,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/506431,blrwar1/XC506431.ogg,60.4098 15.6143 Björn Söderlund
bcnher,[],['nocturnal flight call'],40.7618,-3.7786,Nycticorax nycticorax,Black-crowned Night-Heron,Oscar Vilches,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/552934,bcnher/XC552934.ogg,40.7618 -3.7786 Oscar Vilches
rorpar,[],"['call', 'migrating bird']",47.6448,9.5056,Psittacula krameri,Rose-ringed Parakeet,Matthias Hemprich,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/199339,rorpar/XC199339.ogg,47.6448 9.5056 Matthias Hemprich
litegr,[],['call'],-33.6325,26.5755,Egretta garzetta,Little Egret,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/309390,litegr/XC309390.ogg,-33.6325 26.5755 Lynette Rudman
blrwar1,[],"['adult', 'sex uncertain', 'song']",59.6462,10.7987,Acrocephalus dumetorum,Blyth's Reed Warbler,Will Rook ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/588031,blrwar1/XC588031.ogg,59.6462 10.7987 Will Rook 
bcnher,[],['flight call'],-42.6509,-74.0554,Nycticorax nycticorax,Black-crowned Night-Heron,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/508101,bcnher/XC508101.ogg,-42.6509 -74.0554 Étienne Leroy
eurcoo,[],['call'],54.8707,46.5978,Fulica atra,Eurasian Coot,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/312100,eurcoo/XC312100.ogg,54.8707 46.5978 Albert Lastukhin
gyhcaf1,[],['song'],31.0168,103.6089,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Sid Francis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/408730,gyhcaf1/XC408730.ogg,31.0168 103.6089 Sid Francis
eurcoo,[],"['begging call', 'juvenile']",51.4269,5.4752,Fulica atra,Eurasian Coot,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/572645,eurcoo/XC572645.ogg,51.4269 5.4752 Jorge Leitão
bcnher,[],[''],43.6207,3.8725,Nycticorax nycticorax,Black-crowned Night-Heron,Thierry THOMAS,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/837579,bcnher/XC837579.ogg,43.6207 3.8725 Thierry THOMAS
whbwat1,[],['call'],12.9912,80.2363,Amaurornis phoenicurus,White-breasted Waterhen,Vivek Puliyeri,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/284523,whbwat1/XC284523.ogg,12.9912 80.2363 Vivek Puliyeri
rorpar,[],"['Taj Mahal:', 'life stage uncertain', 'sex uncertain', 'song']",27.1751,78.0421,Psittacula krameri,Rose-ringed Parakeet,Larry Joseph,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/626055,rorpar/XC626055.ogg,27.1751 78.0421 Larry Joseph
blrwar1,[],['song'],54.6173,18.7798,Acrocephalus dumetorum,Blyth's Reed Warbler,Marcin Sołowiej,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/655203,blrwar1/XC655203.ogg,54.6173 18.7798 Marcin Sołowiej
rorpar,[],['call'],52.0541,4.3505,Psittacula krameri,Rose-ringed Parakeet,Bob Planque,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/36899,rorpar/XC36899.ogg,52.0541 4.3505 Bob Planque
graher1,[],['flight call'],48.4541,-5.0846,Ardea cinerea,Gray Heron,Morvan Corentin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/440209,graher1/XC440209.ogg,48.4541 -5.0846 Morvan Corentin
graher1,[],[''],50.7788,4.3266,Ardea cinerea,Gray Heron,Diego Fernandez Martinez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/798784,graher1/XC798784.ogg,50.7788 4.3266 Diego Fernandez Martinez
grtdro1,[],['call'],-6.1745,105.9697,Dicrurus paradiseus,Greater Racket-tailed Drongo,Bas van Balen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/284776,grtdro1/XC284776.ogg,-6.1745 105.9697 Bas van Balen
gyhcaf1,[],['call'],11.0815,76.4221,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/168283,gyhcaf1/XC168283.ogg,11.0815 76.4221 Dilip KG
